category,cost,is_free,is_official,latitude,location.state,longitude,event_date,repeat_times,has_image,description_words,duration,day_of_week,time,is_attractive,city
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-08,1,True,26,0,Mon,evening,True,Brooklyn
performing-arts,,True,False,40.7059561981769,NY,-74.0185171490475,2018-01-09,1,True,25,0,Tues,morning,True,New York
film,,True,False,40.7059561981769,NY,-74.0185171490475,2018-01-09,1,True,25,0,Tues,afternoon,False,New York
lectures-books,,True,False,40.7051574217701,NY,-74.00793467169692,2018-01-09,1,True,25,0,Tues,evening,False,New York
performing-arts,,True,False,40.7265315,NY,-74.0043743,2018-01-09,1,True,27,0,Tues,evening,False,New York
other,,True,False,40.7230666,NY,-73.99380479999998,2018-01-10,1,True,23,4,Wed,morning,True,New York
food-and-drink,,False,False,40.6800318505238,NY,-73.97413662977321,2018-01-10,1,True,29,0,Wed,afternoon,True,Brooklyn
film,7.0,False,False,40.7246322,NY,-73.9900275,2018-01-10,1,True,25,0,Wed,afternoon,True,New York
music,,False,False,40.7398304,NY,-73.984981,2018-01-10,1,True,5,0,Wed,evening,False,New York
film,,True,False,40.7191395,NY,-74.0060905,2018-01-11,1,True,22,0,Thurs,evening,False,New York
other,,True,False,40.746612,NY,-73.9880909,2018-01-11,1,True,29,0,Thurs,afternoon,False,New York
visual-arts,,True,False,40.6678019,NY,-73.9843692,2018-01-11,2,True,24,0,Thurs,evening,True,Brooklyn
visual-arts,,True,False,40.7166390005417,NY,-73.9911077055573,2018-01-12,1,True,28,0,Fri,afternoon,False,New York
visual-arts,,True,False,40.7166390005417,NY,-73.9911077055573,2018-01-12,1,True,23,0,Fri,afternoon,False,New York
nightlife,,False,False,40.7440395,NY,-73.98812579999998,2018-01-12,1,True,28,0,Fri,afternoon,True,New York
performing-arts,,True,False,40.7293456,NY,-73.9787662,2018-01-12,1,True,28,7,Fri,evening,True,New York
nightlife,,True,False,40.749968,NY,-73.9848,2018-01-12,2,True,27,0,Fri,evening,True,New York
visual-arts,,True,False,40.737086,NJ,-74.042526,2018-01-13,1,True,21,0,Sat,evening,True,Hoboken
other,,True,False,40.7259119,NY,-73.9969642,2018-01-13,1,True,26,0,Sat,afternoon,True,New York
music,5.0,False,False,40.6861547,NY,-73.9773518,2018-01-13,1,True,27,0,Sat,afternoon,True,Brooklyn
performing-arts,,True,False,40.7257471,NY,-73.99179659999999,2018-01-13,1,True,24,0,Sat,afternoon,True,New York
nightlife,20.0,False,False,40.7085891,NY,-74.01362759999998,2018-01-13,1,True,24,0,Sat,evening,False,New York
music,15.0,False,False,40.7268982612292,NY,-73.9528847539673,2018-01-14,1,True,25,0,Sun,evening,False,Brooklyn
performing-arts,,True,False,40.7191395,NY,-74.0060905,2018-01-14,1,True,27,0,Sun,morning,False,New York
nightlife,,True,False,40.749968,NY,-73.9848,2018-01-14,1,True,29,0,Sun,afternoon,False,New York
sports-active-life,39.0,False,False,40.749215,NY,-73.983023,2018-01-14,1,True,25,0,Sun,afternoon,True,New York
nightlife,20.0,False,False,40.744265507787,NY,-73.9964819580611,2018-01-14,1,True,20,0,Sun,evening,False,New York
food-and-drink,20.0,False,False,40.7412174911201,NY,-73.9933061599731,2018-01-14,1,True,28,0,Sun,evening,False,New York
performing-arts,,True,False,40.72580170000001,NY,-73.98432290000002,2018-01-14,1,True,29,0,Sun,evening,False,New York
other,122.0,False,False,40.7429314041098,NY,-73.9921391361763,2018-01-15,1,False,27,0,Mon,morning,False,New York
kids-family,,True,False,40.7127753,NY,-74.0059728,2018-01-15,1,True,26,0,Mon,morning,False,New York
visual-arts,25.0,False,False,40.7325774,NY,-73.9973274,2018-01-15,1,True,25,0,Mon,morning,False,New York
kids-family,0.0,False,False,40.6692032,NY,-73.973324,2018-01-15,1,True,24,0,Mon,afternoon,False,Brooklyn
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-15,1,True,29,0,Mon,evening,True,Brooklyn
visual-arts,20.0,False,False,40.7230163,NY,-73.9822869,2018-01-16,1,True,27,12,Tues,evening,True,New York
other,,True,False,40.73825520000001,NY,-73.988214,2018-01-16,2,True,25,14,Tues,morning,True,New York
food-and-drink,65.0,False,False,40.740985,NY,-73.981317,2018-01-16,1,True,22,0,Tues,afternoon,False,New York
lectures-books,25.0,False,False,40.72004310000001,NY,-74.00210990000002,2018-01-16,1,True,25,0,Tues,evening,False,New York
film,7.0,False,False,40.7246322,NY,-73.9900275,2018-01-16,1,True,23,0,Tues,evening,False,New York
performing-arts,,True,False,40.7193823,NY,-73.9893853,2018-01-16,1,True,27,0,Tues,evening,False,New York
visual-arts,100.0,False,False,40.7484,NY,-73.9856644,2018-01-17,4,True,27,0,Wed,morning,True,New York
film,7.0,False,False,40.7246322,NY,-73.9900275,2018-01-17,1,True,25,0,Wed,afternoon,False,New York
performing-arts,,True,False,40.719129,NY,-73.984509,2018-01-17,1,True,25,0,Wed,evening,True,New York
performing-arts,,True,False,40.7365551,NY,-74.0090194,2018-01-18,1,True,24,0,Thurs,morning,False,New York
other,,True,False,40.7390827,NY,-73.9892096,2018-01-18,1,True,22,13,Thurs,morning,False,New York
visual-arts,20.0,False,False,40.740167,NY,-73.995801,2018-01-18,1,True,26,3,Thurs,afternoon,True,New York
charities,20.0,False,False,40.7059797,NY,-74.0126029,2018-01-18,1,True,27,0,Thurs,afternoon,False,New York
performing-arts,,True,False,40.7307873410831,NY,-73.997597694397,2018-01-18,1,True,22,0,Thurs,afternoon,False,New York
other,20.0,False,False,40.7494703,NY,-73.9777704,2018-01-18,1,True,32,0,Thurs,afternoon,False,New York
